"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.34448532481552e-07,0.425084318795237,0.792,0.666,3.06542654057938e-05,"1","Rat-IgG2b"
6.42722136780308e-07,0.388982975674543,0.827,0.727,0.00014654064718591,"1","CD273"
1.33956544002097e-05,0.279016530581423,0.865,0.773,0.00305420920324781,"1","CD204"
6.24265485100221e-05,0.253189585669535,0.875,0.816,0.014233253060285,"1","CD117"
0.000205878421961164,0.326410710994752,0.721,0.625,0.0469402802071455,"1","CD284"
0.000458493561145215,0.28562896317075,0.937,0.859,0.104536531941109,"1","CD235ab"
0.00269990825042419,0.284772096039815,0.929,0.89,0.615579081096715,"1","CD146"
3.91755384128198e-144,1.76680963399321,1,0.966,8.93202275812292e-142,"2","CD56-2"
2.01897391407964e-143,2.40817260877237,0.992,0.81,4.60326052410157e-141,"2","CD335"
2.25090634036037e-143,1.45855636299802,1,1,5.13206645602165e-141,"2","CD16"
8.63237779671784e-133,1.17085254623711,1,0.993,1.96818213765167e-130,"2","CD122"
1.89094780399222e-127,0.439587357666682,1,1,4.31136099310226e-125,"2","CD43"
1.39972706425195e-121,0.731367857167192,1,1,3.19137770649444e-119,"2","CD244"
1.7405072800014e-105,1.04318168671733,0.998,0.975,3.96835659840319e-103,"2","CD56-1"
3.11551555238553e-94,1.40600457901361,0.971,0.908,7.103375459439e-92,"2","CD337"
5.16096230938678e-82,0.708462495013851,1,1,1.17669940654019e-79,"2","CD38-1"
5.34326894583415e-78,0.910425724621899,1,0.99,1.21826531965019e-75,"2","CD45RA"
8.75182771007186e-75,0.739699505577531,1,0.998,1.99541671789638e-72,"2","CD38-2"
4.58572734452458e-67,0.730030979147253,1,0.997,1.04554583455161e-64,"2","CD314"
5.73567874228707e-60,0.427009661485381,1,1,1.30773475324145e-57,"2","CD57"
3.3271836850371e-58,1.73577719684257,0.978,0.968,7.58597880188459e-56,"2","CD158b"
2.86997451747181e-56,1.16090896732842,0.911,0.808,6.54354189983573e-54,"2","CD161"
4.30834090170302e-43,0.468964532475059,0.995,0.991,9.82301725588289e-41,"2","CX3CR1"
5.1976888820801e-43,0.571187754896485,0.992,0.99,1.18507306511426e-40,"2","CD271"
7.56327841729589e-32,0.25545603856127,1,1,1.72442747914346e-29,"2","CD99"
7.44077994459068e-23,0.7006561420754,0.868,0.825,1.69649782736667e-20,"2","TIGIT"
1.21233571044539e-19,0.465794244203732,0.919,0.913,2.76412541981549e-17,"2","CD307c/FcRL3"
5.76523698405897e-14,0.36027772314399,0.988,0.96,1.31447403236545e-11,"2","TIM-4"
6.83784438409534e-13,0.705665075474604,0.999,0.999,1.55902851957374e-10,"2","CD158e1"
4.91802367080914e-08,0.253349103208004,0.97,0.952,1.12130939694448e-05,"2","CD235a"
8.85661929915658e-05,0.254105688635325,0.998,0.998,0.020193092002077,"2","CD2"
0.00573762046878763,1.12070758034145,0.691,0.796,1,"2","CD158"
1.57633903188967e-103,1.12554519982561,1,0.823,3.59405299270844e-101,"3","CD1d"
1.93120839032142e-88,0.898303145155173,1,0.993,4.40315512993285e-86,"3","CD14"
3.33225766036541e-80,1.04140991708231,1,0.897,7.59754746563314e-78,"3","CD275-1"
1.37770113293385e-72,1.31782811422336,0.998,0.737,3.14115858308918e-70,"3","CD155"
4.73450999562558e-71,0.570762594365407,1,0.994,1.07946827900263e-68,"3","CD325"
6.97424199333726e-71,0.671647812131307,1,0.998,1.5901271744809e-68,"3","CD61"
1.37408002439698e-66,0.651037487813702,1,0.96,3.13290245562511e-64,"3","CD138-1"
1.40260365068312e-65,0.404942190500738,1,1,3.19793632355752e-63,"3","CD11b-1"
