"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.20194631492153e-41,1.14301289543893,0.595,0.193,2.14042599761226e-37,"19","AHR"
1.23810601059787e-41,1.87091899651187,0.516,0.12,2.20481918367269e-37,"19","LILRB4"
1.61187557561753e-41,0.919301837364073,0.978,0.549,2.8704280250597e-37,"19","ATP6V0B"
1.65816009355336e-41,1.05887469665944,0.891,0.39,2.95285149459982e-37,"19","ATG3"
2.51315460480473e-41,1.29347500812621,0.666,0.215,4.47542572023627e-37,"19","APAF1"
4.34053233903691e-41,0.900295242171344,0.84,0.304,7.72961998935693e-37,"19","CPPED1"
5.5524333751043e-41,2.27883115806135,0.439,0.075,9.88777335438573e-37,"19","HIP1"
6.53368693042824e-41,1.17508932444584,0.658,0.159,1.16351896857066e-36,"19","IGFBP7"
7.35857261693395e-41,1.02729278202793,0.96,0.63,1.3104146116236e-36,"19","ID2"
1.5847260249643e-40,1.16727849134668,0.724,0.262,2.82208010525643e-36,"19","LACTB"
1.6224529246859e-40,0.672380344835423,0.983,0.558,2.88926416828064e-36,"19","TALDO1"
1.77517710322397e-40,1.25884994360619,0.812,0.34,3.16123538542125e-36,"19","MYADM"
2.05466639714713e-40,2.07128946382137,0.508,0.119,3.6589499200396e-36,"19","GRASP"
2.21569046529016e-40,1.13762787812635,0.764,0.288,3.94570158058871e-36,"19","PLSCR1"
2.72030567699797e-40,0.977369367046387,0.848,0.344,4.84432034959799e-36,"19","OGFRL1"
2.83597204517262e-40,1.66192923499352,0.618,0.158,5.05029901804339e-36,"19","ACER3"
4.0364373445085e-40,1.41032930081872,0.679,0.209,7.18808762310074e-36,"19","SH2B3"
8.27623620153089e-40,0.471976224281248,0.893,0.345,1.47383214276862e-35,"19","MPEG1"
1.00263312824082e-39,0.643242165606341,0.79,0.288,1.78548907477125e-35,"19","CD36"
1.16020823277546e-39,0.858716139993145,0.925,0.423,2.06609882092654e-35,"19","PTPRE"
3.15344580470614e-39,0.815761343715481,0.717,0.286,5.6156562890207e-35,"19","AC020656.1"
6.24169405008539e-39,2.03264151411979,0.461,0.091,1.11152087643921e-34,"19","LRMDA"
7.67875513355497e-39,1.24404647683314,0.789,0.368,1.36743271418347e-34,"19","GADD45B"
9.57252700280392e-39,2.69549536971935,0.478,0.06,1.70467560865932e-34,"19","SPATS2L"
2.14662944161974e-38,1.45289334994715,0.665,0.179,3.82271770963643e-34,"19","CCDC50"
4.44569740000127e-38,0.688325086772221,0.907,0.342,7.91689792992226e-34,"19","NCF2"
4.62778255896044e-38,0.720650728233274,0.772,0.285,8.24115518099674e-34,"19","PILRA"
7.13736435206406e-38,1.25041840287625,0.613,0.194,1.27102184381557e-33,"19","RGS18"
1.02855577459512e-37,0.575392390105687,0.994,0.6,1.83165212339898e-33,"19","TKT"
1.12256418917117e-37,0.65640164384167,0.817,0.317,1.99906230807602e-33,"19","CLEC12A"
1.86910563850897e-37,0.83399583823849,0.862,0.349,3.32850332105677e-33,"19","MARCH1"
2.26564532524036e-37,1.27145938397395,0.638,0.203,4.03466119518804e-33,"19","CDKN1A"
3.03379955733493e-37,0.79824848103169,0.752,0.246,5.40259025170204e-33,"19","LRRC25"
3.26250537706111e-37,2.04837274261815,0.435,0.101,5.80986957547042e-33,"19","MTMR11"
3.93119139829233e-37,0.805354495890784,0.756,0.272,7.00066564207899e-33,"19","TGFBI"
6.0084589791357e-37,1.29209322231292,0.644,0.206,1.06998637500449e-32,"19","GAPT"
6.10869962575806e-37,1.16475397593526,0.593,0.184,1.087837229355e-32,"19","MGST1"
6.35773816768476e-37,0.680568594771101,0.997,0.808,1.1321860129013e-32,"19","GNAI2"
6.64411507162492e-37,1.36927726536292,0.634,0.204,1.18318401195497e-32,"19","FGD2"
1.05769380802984e-36,0.552740666430561,1,0.973,1.88354113333954e-32,"19","SH3BGRL3"
1.24761659299425e-36,1.28557532760566,0.691,0.236,2.22175562880417e-32,"19","HEXB"
1.83154498008055e-36,1.20283057257076,0.7,0.233,3.26161530052744e-32,"19","EIF4EBP1"
2.79230309149325e-36,1.65624135147208,0.54,0.143,4.97253334533118e-32,"19","DSE"
3.81750367935228e-36,2.89572609044394,0.393,0.047,6.79821055219054e-32,"19","CPED1"
4.17697810001252e-36,1.08631407215018,0.683,0.246,7.4383626005023e-32,"19","MFSD1"
5.64799033368361e-36,1.19741113644202,0.607,0.165,1.00579411862238e-31,"19","BCL11A"
6.26312104345119e-36,1.15095831462712,0.68,0.246,1.11533659541779e-31,"19","IL6R"
